common_id,2009_syu,2012_syu,2014_syu,2017_syu,2009_ykn,2010_ykn,2012_ykn,2013_ykn,2014_ykn,2016_ykn,カテゴリ,質問項目１,質問項目２,回答欄,備考1,備考2,朝日項目名
q1,Q2_1,Q1_1,Q1_1,Q1_1,,,,,,,15,今回の選挙に際して、あなたが最も重視する政策はどれでしょうか。また２番目、３番目はどうですか。,1,１．外交　２．財政再建 ３．景気対策　４．経済構造改革 ５．農林漁業 ６．教育 ７．年金 ８．医療 ９．雇用・就職　１０．治安１１．環境 １２．政治・行政改革 １３．地方分権 １４．憲法（護憲・改憲） １５．その他（具体的に ）,,,
q2,Q2_2,Q1_2,Q1_2,Q1_2,,,,,,,15,今回の選挙に際して、あなたが最も重視する政策はどれでしょうか。また２番目、３番目はどうですか。,2,１．外交　２．財政再建 ３．景気対策　４．経済構造改革 ５．農林漁業 ６．教育 ７．年金 ８．医療 ９．雇用・就職　１０．治安１１．環境 １２．政治・行政改革 １３．地方分権 １４．憲法（護憲・改憲） １５．その他（具体的に ）,,,
q3,Q2_3,Q1_3,Q1_3,Q1_3,,,,,,,15,今回の選挙に際して、あなたが最も重視する政策はどれでしょうか。また２番目、３番目はどうですか。,3,１．外交　２．財政再建 ３．景気対策　４．経済構造改革 ５．農林漁業 ６．教育 ７．年金 ８．医療 ９．雇用・就職　１０．治安１１．環境 １２．政治・行政改革 １３．地方分権 １４．憲法（護憲・改憲） １５．その他（具体的に ）,,,
q4,Q3_1,Q3_1,,,,,,,,,15,選挙との関係は別にして、これまであなたが最も力を注いできた、あるいは同僚議員と比べてあなたがとくに詳しいと言える政策分野はどれでしょうか。２番目、３番目はどうですか。,1,１．外交　２．財政再建 ３．景気対策　４．経済構造改革 ５．農林漁業 ６．教育 ７．年金 ８．医療 ９．雇用・就職　１０．治安１１．環境 １２．政治・行政改革 １３．地方分権 １４．憲法（護憲・改憲） １５．その他（具体的に ）,,,
q5,Q3_2,Q3_2,,,,,,,,,15,選挙との関係は別にして、これまであなたが最も力を注いできた、あるいは同僚議員と比べてあなたがとくに詳しいと言える政策分野はどれでしょうか。２番目、３番目はどうですか。,2,１．外交　２．財政再建 ３．景気対策　４．経済構造改革 ５．農林漁業 ６．教育 ７．年金 ８．医療 ９．雇用・就職　１０．治安１１．環境 １２．政治・行政改革 １３．地方分権 １４．憲法（護憲・改憲） １５．その他（具体的に ）,,,
q6,Q3_3,Q3_3,,,,,,,,,15,選挙との関係は別にして、これまであなたが最も力を注いできた、あるいは同僚議員と比べてあなたがとくに詳しいと言える政策分野はどれでしょうか。２番目、３番目はどうですか。,3,１．外交　２．財政再建 ３．景気対策　４．経済構造改革 ５．農林漁業 ６．教育 ７．年金 ８．医療 ９．雇用・就職　１０．治安１１．環境 １２．政治・行政改革 １３．地方分権 １４．憲法（護憲・改憲） １５．その他（具体的に ）,,,
q7,Q4_1,Q2_1,Q2_1,,,,,,,,5,選挙運動には、政策を訴えかける以外にも、さまざまな活動があります。今回の選挙に際して、あなたがもっとも重視する（政策以外の）要素はどれでしょうか。また２番目、３番目はどうですか。,1,１．ふだんからあなたを応援してくれる人々や組織に働きかける ２．過去の業績を強調する（自党・友党の良さや反対党の悪さ） ３．政権担当能力を強調する（自党・友党の良さや反対党の悪さ）４．リーダーの資質を強調する（自・友党の良さや反対党の悪さ） ５．あなたご自身の業績や資質を強調する,,,
q8,Q4_2,Q2_2,Q2_2,,,,,,,,5,選挙運動には、政策を訴えかける以外にも、さまざまな活動があります。今回の選挙に際して、あなたがもっとも重視する（政策以外の）要素はどれでしょうか。また２番目、３番目はどうですか。,2,１．ふだんからあなたを応援してくれる人々や組織に働きかける ２．過去の業績を強調する（自党・友党の良さや反対党の悪さ） ３．政権担当能力を強調する（自党・友党の良さや反対党の悪さ）４．リーダーの資質を強調する（自・友党の良さや反対党の悪さ） ５．あなたご自身の業績や資質を強調する,,,
q9,Q4_3,Q2_3,Q2_3,,,,,,,,5,選挙運動には、政策を訴えかける以外にも、さまざまな活動があります。今回の選挙に際して、あなたがもっとも重視する（政策以外の）要素はどれでしょうか。また２番目、３番目はどうですか。,3,１．ふだんからあなたを応援してくれる人々や組織に働きかける ２．過去の業績を強調する（自党・友党の良さや反対党の悪さ） ３．政権担当能力を強調する（自党・友党の良さや反対党の悪さ）４．リーダーの資質を強調する（自・友党の良さや反対党の悪さ） ５．あなたご自身の業績や資質を強調する,,,
q10,Q8_1,Q5_25,,,,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,衆議院の選挙制度を中選挙区制に戻すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
